Date,Open,High,Low,Close,Adj Close,Volume
"Mar 27, 2025",111.35,114.45,110.66,111.43,111.43,"236,902,100"
"Mar 26, 2025",118.73,118.84,112.71,113.76,113.76,"293,463,300"
"Mar 25, 2025",120.55,121.29,118.92,120.69,120.69,"167,447,200"
"Mar 24, 2025",119.88,122.22,119.34,121.41,121.41,"228,452,500"
"Mar 21, 2025",116.94,117.99,115.42,117.70,117.70,"266,498,500"
"Mar 20, 2025",116.55,120.20,116.47,118.53,118.53,"248,829,700"
"Mar 19, 2025",117.27,120.45,115.68,117.52,117.52,"273,426,200"
"Mar 18, 2025",118.00,119.02,114.54,115.43,115.43,"299,686,900"
"Mar 17, 2025",122.74,122.89,118.03,119.53,119.53,"255,501,500"
"Mar 14, 2025",118.61,121.88,118.15,121.67,121.67,"277,593,500"
"Mar 13, 2025",117.03,117.76,113.79,115.58,115.58,"299,033,100"
"Mar 12, 2025",0.01,,,,,
"Mar 12, 2025",114.12,116.76,112.88,115.74,115.74,"323,857,500"
"Mar 11, 2025",106.99,112.24,104.77,108.76,108.75,"354,865,700"
"Mar 10, 2025",109.90,111.85,105.46,106.98,106.97,"366,487,400"
"Mar 7, 2025",111.25,113.48,107.56,112.69,112.68,"341,755,500"
"Mar 6, 2025",113.53,115.35,110.22,110.57,110.56,"321,181,900"
"Mar 5, 2025",117.58,118.28,114.51,117.30,117.29,"284,337,900"
"Mar 4, 2025",110.65,119.31,110.11,115.99,115.98,"398,163,300"
"Mar 3, 2025",123.51,123.70,112.28,114.06,114.05,"411,381,400"
"Feb 28, 2025",118.02,125.09,116.40,124.92,124.91,"389,091,100"
"Feb 27, 2025",135.00,135.01,120.01,120.15,120.14,"443,175,800"
"Feb 26, 2025",129.99,133.73,128.49,131.28,131.27,"322,553,800"
"Feb 25, 2025",129.98,130.20,124.44,126.63,126.62,"271,428,700"
"Feb 24, 2025",136.56,138.59,130.08,130.28,130.27,"251,381,100"
"Feb 21, 2025",140.04,141.46,134.03,134.43,134.42,"228,217,600"
"Feb 20, 2025",140.03,140.66,136.79,140.11,140.10,"143,903,600"
"Feb 19, 2025",139.51,141.36,137.22,139.23,139.22,"167,536,000"
"Feb 18, 2025",141.27,143.44,137.93,139.40,139.39,"219,176,600"
"Feb 14, 2025",136.48,139.25,135.50,138.85,138.84,"195,479,600"
"Feb 13, 2025",131.56,136.50,131.17,135.29,135.28,"197,430,000"
"Feb 12, 2025",130.02,132.24,129.08,131.14,131.13,"160,278,600"
"Feb 11, 2025",132.58,134.48,131.02,132.80,132.79,"178,902,400"
"Feb 10, 2025",130.09,135.00,129.96,133.57,133.56,"216,989,100"
"Feb 7, 2025",129.22,130.37,125.00,129.84,129.83,"228,186,300"
"Feb 6, 2025",127.42,128.77,125.21,128.68,128.67,"251,483,600"
"Feb 5, 2025",121.76,125.00,120.76,124.83,124.82,"262,230,800"
"Feb 4, 2025",116.96,121.20,116.70,118.65,118.64,"256,550,000"
"Feb 3, 2025",114.75,118.57,113.01,116.66,116.65,"371,235,700"
"Jan 31, 2025",123.78,127.85,119.19,120.07,120.06,"390,372,900"
"Jan 30, 2025",123.10,125.00,118.10,124.65,124.64,"392,925,500"
"Jan 29, 2025",126.50,126.89,120.05,123.70,123.69,"467,120,600"
"Jan 28, 2025",121.81,129.00,116.25,128.99,128.98,"579,666,400"
"Jan 27, 2025",124.80,128.40,116.70,118.42,118.41,"818,830,900"
"Jan 24, 2025",148.37,148.97,141.88,142.62,142.61,"234,657,600"
"Jan 23, 2025",145.05,147.23,143.72,147.22,147.21,"155,915,500"
"Jan 22, 2025",144.66,147.79,143.67,147.07,147.06,"237,651,400"
"Jan 21, 2025",139.16,141.83,137.09,140.83,140.82,"197,749,000"
"Jan 17, 2025",136.69,138.50,135.46,137.71,137.70,"201,188,800"
"Jan 16, 2025",138.64,138.75,133.49,133.57,133.56,"209,235,600"
"Jan 15, 2025",133.65,136.45,131.29,136.24,136.23,"185,217,300"
"Jan 14, 2025",136.05,136.38,130.05,131.76,131.75,"195,590,500"
"Jan 13, 2025",129.99,133.49,129.51,133.23,133.22,"204,808,900"
"Jan 10, 2025",137.45,139.92,134.22,135.91,135.90,"207,602,500"
"Jan 8, 2025",142.58,143.95,137.56,140.11,140.10,"227,349,900"
"Jan 7, 2025",153.03,153.13,140.01,140.14,140.13,"351,782,200"
"Jan 6, 2025",148.59,152.16,147.82,149.43,149.42,"265,377,400"
"Jan 3, 2025",140.01,144.90,139.73,144.47,144.46,"229,322,500"
"Jan 2, 2025",136.00,138.88,134.63,138.31,138.30,"198,247,200"
"Dec 31, 2024",138.03,138.07,133.83,134.29,134.28,"155,659,200"
"Dec 30, 2024",134.83,140.27,134.02,137.49,137.48,"167,734,700"
"Dec 27, 2024",138.55,139.02,134.71,137.01,137.00,"170,582,600"
"Dec 26, 2024",139.70,140.85,137.73,139.93,139.92,"116,205,600"
"Dec 24, 2024",140.00,141.90,138.65,140.22,140.21,"105,157,000"
"Dec 23, 2024",136.28,139.79,135.12,139.67,139.66,"176,053,500"
"Dec 20, 2024",129.81,135.28,128.22,134.70,134.69,"306,528,600"
"Dec 19, 2024",131.76,134.03,129.55,130.68,130.67,"209,719,200"
"Dec 18, 2024",133.86,136.70,128.28,128.91,128.90,"277,444,500"
"Dec 17, 2024",129.09,131.59,126.86,130.39,130.38,"259,410,300"
"Dec 16, 2024",134.18,134.40,130.42,132.00,131.99,"237,951,100"
"Dec 13, 2024",138.94,139.60,132.54,134.25,134.24,"231,514,900"
"Dec 12, 2024",137.08,138.44,135.80,137.34,137.33,"159,211,400"
"Dec 11, 2024",137.36,140.17,135.21,139.31,139.30,"184,905,200"
"Dec 10, 2024",139.01,141.82,133.79,135.07,135.06,"210,020,900"
"Dec 9, 2024",138.97,139.95,137.13,138.81,138.80,"189,308,600"
"Dec 6, 2024",144.60,145.70,141.31,142.44,142.43,"188,505,600"
"Dec 5, 2024",0.01,,,,,
"Dec 5, 2024",145.11,146.54,143.95,145.06,145.05,"172,621,200"
"Dec 4, 2024",142.00,145.79,140.29,145.14,145.12,"231,224,300"
"Dec 3, 2024",138.26,140.54,137.95,140.26,140.24,"164,414,000"
"Dec 2, 2024",138.83,140.45,137.82,138.63,138.61,"171,682,800"
"Nov 29, 2024",136.78,139.35,136.05,138.25,138.23,"141,863,200"
"Nov 27, 2024",135.01,137.22,131.80,135.34,135.32,"226,370,900"
"Nov 26, 2024",137.70,139.30,135.67,136.92,136.90,"190,287,700"
"Nov 25, 2024",141.99,142.05,135.82,136.02,136.00,"344,941,900"
"Nov 22, 2024",145.93,147.16,141.10,141.95,141.93,"236,406,200"
"Nov 21, 2024",149.35,152.89,140.70,146.67,146.65,"400,946,600"
"Nov 20, 2024",147.41,147.56,142.73,145.89,145.87,"309,871,700"
"Nov 19, 2024",141.32,147.13,140.99,147.01,146.99,"227,834,900"
"Nov 18, 2024",139.50,141.55,137.15,140.15,140.13,"221,866,000"
"Nov 15, 2024",144.87,145.24,140.08,141.98,141.96,"250,132,900"
"Nov 14, 2024",147.64,149.00,145.55,146.76,146.74,"194,463,300"
"Nov 13, 2024",149.07,149.33,145.90,146.27,146.25,"191,903,300"
"Nov 12, 2024",146.78,149.65,146.01,148.29,148.27,"198,634,700"
"Nov 11, 2024",148.68,148.85,143.57,145.26,145.24,"182,325,600"
"Nov 8, 2024",148.77,149.77,146.26,147.63,147.61,"175,665,800"
"Nov 7, 2024",146.39,148.93,146.17,148.88,148.86,"207,323,300"
"Nov 6, 2024",142.96,146.49,141.96,145.61,145.59,"242,043,900"
"Nov 5, 2024",137.45,140.37,137.33,139.91,139.89,"160,537,400"
"Nov 4, 2024",137.21,138.96,135.57,136.05,136.03,"187,528,200"
"Nov 1, 2024",134.70,137.31,134.57,135.40,135.38,"207,127,800"
"Oct 31, 2024",137.60,137.61,132.11,132.76,132.74,"270,039,600"
"Oct 30, 2024",139.54,140.33,136.81,139.34,139.32,"179,418,100"
"Oct 29, 2024",140.29,142.26,138.90,141.25,141.23,"157,593,600"
"Oct 28, 2024",143.00,143.14,140.05,140.52,140.50,"173,586,700"
"Oct 25, 2024",140.93,144.13,140.80,141.54,141.52,"205,122,100"
"Oct 24, 2024",140.82,141.35,138.46,140.41,140.39,"172,354,900"
"Oct 23, 2024",142.03,142.43,137.46,139.56,139.54,"285,930,000"
"Oct 22, 2024",142.91,144.42,141.78,143.59,143.57,"226,311,600"
"Oct 21, 2024",138.13,143.71,138.00,143.71,143.69,"264,554,500"
"Oct 18, 2024",138.67,138.90,137.28,138.00,137.98,"176,090,200"
"Oct 17, 2024",139.34,140.89,136.87,136.93,136.91,"306,435,900"
"Oct 16, 2024",133.98,136.62,131.58,135.72,135.70,"264,879,700"
"Oct 15, 2024",137.87,138.57,128.74,131.60,131.58,"377,831,000"
"Oct 14, 2024",136.47,139.60,136.30,138.07,138.05,"232,347,700"
"Oct 11, 2024",134.01,135.78,133.66,134.80,134.78,"170,209,500"
"Oct 10, 2024",131.91,135.00,131.00,134.81,134.79,"242,311,300"
"Oct 9, 2024",134.11,134.52,131.38,132.65,132.63,"246,191,600"
"Oct 8, 2024",130.26,133.48,129.42,132.89,132.87,"285,722,500"
"Oct 7, 2024",124.99,130.64,124.95,127.72,127.70,"346,250,200"
"Oct 4, 2024",124.94,125.04,121.83,124.92,124.90,"243,678,100"
"Oct 3, 2024",120.92,124.36,120.34,122.85,122.83,"277,118,000"
"Oct 2, 2024",116.44,119.38,115.14,118.85,118.83,"221,845,900"
"Oct 1, 2024",121.77,122.44,115.79,117.00,116.98,"302,094,500"
"Sep 30, 2024",118.31,121.50,118.15,121.44,121.42,"226,553,700"
"Sep 27, 2024",123.97,124.03,119.26,121.40,121.38,"271,009,200"
"Sep 26, 2024",126.80,127.67,121.80,124.04,124.02,"302,582,900"
"Sep 25, 2024",122.02,124.94,121.61,123.51,123.49,"284,692,900"
"Sep 24, 2024",116.52,121.80,115.38,120.87,120.85,"354,966,800"
"Sep 23, 2024",116.55,116.99,114.86,116.26,116.24,"206,228,500"
"Sep 20, 2024",117.06,118.62,115.39,116.00,115.98,"382,462,400"
"Sep 19, 2024",117.35,119.66,117.25,117.87,117.85,"293,506,400"
"Sep 18, 2024",115.89,117.70,113.22,113.37,113.35,"310,318,900"
"Sep 17, 2024",118.17,118.80,114.83,115.59,115.57,"231,925,900"
"Sep 16, 2024",116.79,118.18,114.36,116.78,116.76,"248,772,300"
"Sep 13, 2024",119.08,119.96,117.60,119.10,119.08,"238,358,300"
"Sep 12, 2024",0.01,,,,,
"Sep 12, 2024",116.84,120.79,115.38,119.14,119.12,"367,100,500"
"Sep 11, 2024",109.39,117.19,107.42,116.91,116.88,"441,422,400"
"Sep 10, 2024",107.81,109.40,104.95,108.10,108.07,"268,283,700"
"Sep 9, 2024",104.88,106.55,103.69,106.47,106.44,"273,912,000"
"Sep 6, 2024",108.04,108.15,100.95,102.83,102.80,"413,638,100"
"Sep 5, 2024",104.99,109.65,104.76,107.21,107.18,"306,850,700"
"Sep 4, 2024",105.41,113.27,104.12,106.21,106.18,"372,470,300"
"Sep 3, 2024",116.01,116.21,107.29,108.00,107.97,"477,155,100"
"Aug 30, 2024",119.53,121.75,117.22,119.37,119.34,"333,751,600"
"Aug 29, 2024",121.36,124.43,116.71,117.59,117.56,"453,023,300"
"Aug 28, 2024",128.12,128.33,122.64,125.61,125.58,"448,101,100"
"Aug 27, 2024",125.05,129.20,123.88,128.30,128.27,"303,134,600"
"Aug 26, 2024",129.57,131.26,124.37,126.46,126.43,"331,964,700"
"Aug 23, 2024",125.86,129.60,125.22,129.37,129.34,"323,230,300"
"Aug 22, 2024",130.02,130.75,123.10,123.74,123.71,"376,189,100"
"Aug 21, 2024",127.32,129.35,126.66,128.50,128.47,"257,883,600"
"Aug 20, 2024",128.40,129.88,125.89,127.25,127.22,"300,087,400"
"Aug 19, 2024",124.28,130.00,123.42,130.00,129.97,"318,333,600"
"Aug 16, 2024",121.94,125.00,121.18,124.58,124.55,"302,589,900"
"Aug 15, 2024",118.76,123.24,117.47,122.86,122.83,"318,086,700"
"Aug 14, 2024",118.53,118.60,114.07,118.08,118.05,"339,246,400"
"Aug 13, 2024",112.44,116.23,111.58,116.14,116.11,"312,646,700"
"Aug 12, 2024",106.32,111.07,106.26,109.02,108.99,"325,559,900"
"Aug 9, 2024",105.64,106.60,103.43,104.75,104.72,"290,844,200"
"Aug 8, 2024",102.00,105.50,97.52,104.97,104.94,"391,910,000"
"Aug 7, 2024",107.81,108.80,98.69,98.91,98.89,"411,440,400"
"Aug 6, 2024",103.84,107.71,100.55,104.25,104.22,"409,012,100"
"Aug 5, 2024",92.06,103.41,90.69,100.45,100.43,"552,842,400"
"Aug 2, 2024",103.76,108.72,101.37,107.27,107.24,"482,027,500"
"Aug 1, 2024",117.53,120.16,106.81,109.21,109.18,"523,462,300"
"Jul 31, 2024",112.90,118.34,110.88,117.02,116.99,"473,174,200"
"Jul 30, 2024",111.52,111.99,102.54,103.73,103.70,"486,833,300"
"Jul 29, 2024",113.69,116.28,111.30,111.59,111.56,"248,152,100"
"Jul 26, 2024",116.19,116.20,111.58,113.06,113.03,"293,399,100"
"Jul 25, 2024",113.04,116.63,106.30,112.28,112.25,"460,067,000"
"Jul 24, 2024",119.17,119.95,113.44,114.25,114.22,"327,776,900"
"Jul 23, 2024",122.78,124.69,122.10,122.59,122.56,"173,911,000"
"Jul 22, 2024",120.35,124.07,119.86,123.54,123.51,"258,068,900"
"Jul 19, 2024",120.35,121.60,117.37,117.93,117.90,"217,223,800"
"Jul 18, 2024",121.85,122.40,116.56,121.09,121.06,"320,979,500"
"Jul 17, 2024",121.35,121.85,116.72,117.99,117.96,"390,086,200"
"Jul 16, 2024",128.44,129.04,124.58,126.36,126.33,"214,769,500"
"Jul 15, 2024",130.56,131.39,127.18,128.44,128.41,"208,326,200"
"Jul 12, 2024",128.26,131.92,127.22,129.24,129.21,"252,680,500"
"Jul 11, 2024",135.75,136.15,127.05,127.40,127.37,"374,782,700"
"Jul 10, 2024",134.03,135.10,132.42,134.91,134.88,"248,978,600"
"Jul 9, 2024",130.35,133.82,128.65,131.38,131.35,"285,366,600"
"Jul 8, 2024",127.49,130.77,127.04,128.20,128.17,"237,677,300"
"Jul 5, 2024",127.38,128.85,125.68,125.83,125.80,"214,176,700"
"Jul 3, 2024",121.66,128.28,121.36,128.28,128.25,"215,749,000"
"Jul 2, 2024",121.13,123.41,121.03,122.67,122.64,"218,374,000"
"Jul 1, 2024",123.47,124.84,118.83,124.30,124.27,"284,885,500"
"Jun 28, 2024",124.58,127.71,122.75,123.54,123.51,"315,516,700"
"Jun 27, 2024",124.10,126.41,122.92,123.99,123.96,"252,571,700"
"Jun 26, 2024",126.13,128.12,122.60,126.40,126.37,"362,975,900"
"Jun 25, 2024",121.20,126.50,119.32,126.09,126.06,"425,787,500"
"Jun 24, 2024",123.24,124.46,118.04,118.11,118.08,"476,060,900"
"Jun 21, 2024",127.12,130.63,124.30,126.57,126.54,"655,484,700"
"Jun 20, 2024",139.80,140.76,129.52,130.78,130.75,"517,768,400"
"Jun 18, 2024",131.14,136.33,130.69,135.58,135.55,"294,335,100"
"Jun 17, 2024",132.99,133.73,129.58,130.98,130.95,"288,504,400"
"Jun 14, 2024",129.96,132.84,128.32,131.88,131.85,"309,320,400"
"Jun 13, 2024",129.39,129.80,127.16,129.61,129.58,"260,704,500"
"Jun 12, 2024",123.06,126.88,122.57,125.20,125.17,"299,595,000"
"Jun 11, 2024",0.01,,,,,
"Jun 11, 2024",121.77,122.87,118.74,120.91,120.88,"222,551,200"
"Jun 10, 2024",10:1,,,,,
"Jun 10, 2024",120.37,123.10,117.01,121.79,121.75,"314,162,700"
"Jun 7, 2024",119.77,121.69,118.02,120.89,120.85,"412,386,000"
"Jun 6, 2024",124.05,125.59,118.32,121.00,120.96,"664,696,000"
"Jun 5, 2024",118.37,122.45,117.47,122.44,122.40,"528,402,000"
"Jun 4, 2024",115.72,116.60,114.04,116.44,116.40,"403,324,000"
"Jun 3, 2024",113.62,115.00,112.00,115.00,114.96,"438,392,000"
"May 31, 2024",112.52,112.72,106.94,109.63,109.60,"613,263,000"
"May 30, 2024",114.65,115.82,109.66,110.50,110.46,"487,350,000"
"May 29, 2024",113.05,115.49,110.90,114.82,114.79,"557,442,000"
"May 28, 2024",110.24,114.94,109.88,113.90,113.86,"652,728,000"
"May 24, 2024",104.45,106.47,103.00,106.47,106.43,"429,494,000"
"May 23, 2024",102.03,106.32,101.52,103.80,103.76,"835,065,000"
"May 22, 2024",95.46,96.02,93.25,94.95,94.92,"548,648,000"
"May 21, 2024",93.60,95.40,93.18,95.39,95.35,"328,946,000"
"May 20, 2024",93.75,95.20,93.44,94.78,94.75,"318,764,000"
"May 17, 2024",94.37,94.74,91.81,92.48,92.45,"359,691,000"
"May 16, 2024",94.91,95.82,94.10,94.36,94.33,"323,952,000"
"May 15, 2024",92.47,94.86,91.60,94.63,94.60,"417,735,000"
"May 14, 2024",89.60,91.65,88.93,91.36,91.33,"296,507,000"
"May 13, 2024",90.48,91.00,88.53,90.40,90.37,"289,680,000"
"May 10, 2024",90.31,91.40,89.23,89.88,89.85,"335,325,000"
"May 9, 2024",90.53,91.07,88.23,88.75,88.72,"378,013,000"
"May 8, 2024",89.48,91.19,89.42,90.41,90.38,"325,721,000"
"May 7, 2024",91.10,91.78,89.01,90.55,90.52,"437,342,000"
"May 6, 2024",89.39,92.22,89.06,92.14,92.11,"376,203,000"
